store_no,curr_natl_grade,curr_natl_index,curr_annual_sls_k,curr_mkt_grade,label_cng_cmg,label_cng_lt_png,curr_mkt_index,survey_yr_last_c,survey_yr_next_c,ttl_no_surveys_c,past_yrs,past_natl_grade,label_png,past_natl_index,past_annual_sls_k,past_mkt_grade,label_png_pmg,past_mkt_index,survey_yr_last_p,survey_yr_next_p,ttl_no_surveys_p,year
143368,D,80.0,3254.0,C-,MCDTR(D/C),MCDTR(D<D),92.0,2023.0,2022.0,2.0,,D,MCDTR(D),84.0,2549.0,C-,MCDTR(D/C),90.0,2018.0,2015.0,2.0,2024
143393,A+,161.0,6549.0,A+,MCDTR(A/A),MCDTR(A<A),183.0,2023.0,2022.0,4.0,,A+,MCDTR(A),164.0,4976.0,A+,MCDTR(A/A),174.0,2018.0,2017.0,4.0,2024
143395,D+,86.0,3498.0,C,MCDTR(D/C),MCDTR(D<B),98.0,2023.0,2022.0,2.0,,B-,MCDTR(B),110.0,3337.0,B,MCDTR(B/B),118.0,2018.0,2015.0,2.0,2024
143355,D,83.0,3376.0,C,MCDTR(D/C),MCDTR(D<-),95.0,2023.0,2022.0,2.0,,,MCDTR,,,,MCDTR,,,,,2024
143351,F,67.0,2726.0,D,MCDTR(F/D),MCDTR(F<D),76.0,2023.0,2022.0,3.0,,D,MCDTR(D),81.0,2458.0,D+,MCDTR(D/D),88.0,2019.0,2016.0,2.0,2024
143352,D,77.0,3132.0,D+,MCDTR(D/D),MCDTR(D<D),87.0,2023.0,2022.0,3.0,,D,MCDTR(D),77.0,2336.0,D,MCDTR(D/D),83.0,2020.0,2018.0,4.0,2024
143353,F,47.0,1912.0,F,MCDTR(F/F),MCDTR(F<D),53.0,2023.0,2022.0,2.0,,D-,MCDTR(D),71.0,2154.0,D,MCDTR(D/D),75.0,2018.0,2017.0,3.0,2024
143354,F,65.0,2644.0,D-,MCDTR(F/D),MCDTR(F<C),74.0,2023.0,2022.0,3.0,,C+,MCDTR(C),106.0,3216.0,B,MCDTR(C/B),117.0,2019.0,,1.0,2024
143365,F,68.0,2766.0,D,MCDTR(F/D),MCDTR(F<C),77.0,2023.0,2022.0,3.0,,C-,MCDTR(C),92.0,2791.0,C,MCDTR(C/C),99.0,2019.0,2018.0,4.0,2024
143357,D,78.0,3173.0,D+,MCDTR(D/D),MCDTR(D<D),89.0,2023.0,2022.0,5.0,,D+,MCDTR(D),86.0,2609.0,C-,MCDTR(D/C),92.0,2020.0,2018.0,3.0,2024
143392,D-,73.0,2970.0,D,MCDTR(D/D),MCDTR(D<D),82.0,2024.0,2023.0,5.0,,D-,MCDTR(D),71.0,2154.0,D,MCDTR(D/D),78.0,2019.0,2019.0,2.0,2024
143358,F,69.0,2807.0,D,MCDTR(F/D),MCDTR(F<D),78.0,2023.0,2022.0,3.0,,D,MCDTR(D),79.0,2397.0,D+,MCDTR(D/D),87.0,2019.0,,1.0,2024
143394,B,118.0,4800.0,A,MCDTR(B/A),MCDTR(B<A),135.0,2023.0,2022.0,2.0,,A+,MCDTR(A),146.0,4430.0,A+,MCDTR(A/A),154.0,2015.0,,1.0,2024
